19,406
13,412
12,410
13,413
13,416
14,416
12,428
13,420
15,426
14,452
17,489
17,461
16,474
15,452
15,442
15,434
14,438
14,438
14,464
15,442
14,438
13,441
14,444
14,438
14,436
14,445
14,438
15,430
14,439
16,429
13,438
13,430
14,434
13,433
14,425
14,433
13,433
12,435
13,433
14,437
13,435
14,432
14,435
13,429
13,429
13,428
14,423
14,432
14,424
14,433
12,434
13,438
14,428
13,431
15,438
15,438
12,429
13,428
14,440
13,436
13,431
13,439
12,441
13,436
14,437
14,438
13,438
13,430
13,438
13,432
13,435
14,438
13,434
14,437
14,437
12,440
14,431
16,431
13,431
13,438
16,926
16,461
14,460
14,441
14,448
13,441
