27,325
16,308
16,314
16,318
16,323
17,325
17,327
16,328
16,330
17,327
17,324
17,331
17,329
17,330
17,331
18,327
17,331
17,331
16,329
17,333
17,325
17,333
17,329
17,328
17,329
17,329
17,329
17,327
18,335
17,334
16,335
17,331
18,336
18,339
18,337
17,334
17,334
16,333
16,334
19,333
18,334
17,332
17,330
16,336
18,334
17,337
19,340
18,336
18,338
16,347
18,349
17,339
19,334
17,339
18,333
17,335
17,338
18,334
17,333
16,335
18,338
16,335
17,334
17,333
18,337
17,345
17,342
17,342
18,345
18,341
18,344
17,339
18,340
18,339
17,345
19,341
17,342
17,347
19,344
18,352
20,756
30,357
18,353
18,349
18,344
17,341
