14,234
8,222
8,226
8,230
9,230
8,232
8,230
8,231
8,233
8,236
8,239
8,234
8,238
8,238
8,239
8,241
8,243
8,242
8,237
8,236
8,239
8,243
8,244
9,238
8,242
8,237
8,239
8,237
8,239
8,240
9,239
8,239
8,242
8,242
8,243
8,239
8,244
8,245
8,241
8,241
8,240
8,241
8,243
8,241
8,240
8,239
8,240
8,240
9,242
8,240
8,242
8,240
8,242
8,244
9,242
8,242
8,246
8,242
9,244
8,241
8,243
8,239
9,245
8,241
9,244
8,240
8,245
8,245
8,247
8,242
8,242
8,242
10,244
8,243
8,245
8,242
8,244
8,243
8,244
8,243
8,246
9,242
8,245
10,560
10,247
10,247
8,241
9,241
8,243
